PHP CODE SNIFFER REPORT SUMMARY
--------------------------------------------------------------------------------
FILE                                                            ERRORS  WARNINGS
/vobs/xiec/trunk/packages/tmp/site/libraries/base/state.php     2       0
/vobs/xiec/trunk/packages/tmp/site/libraries/base/table.php     15      1
/vobs/xiec/trunk/packages/tmp/site/libraries/base/text.php      2       0
/vobs/xiec/trunk/packages/tmp/site/libraries/base/toolbar.php   5       0
/vobs/xiec/trunk/packages/tmp/site/libraries/base/view.php      35      4
...xiec/trunk/packages/tmp/site/libraries/fields/fieldtype.php  8       0
.../trunk/packages/tmp/site/libraries/joomla/databasequery.php  41      0
...kages/tmp/site/libraries/joomla/form/fields/accesslevel.php  10      0
...ages/tmp/site/libraries/joomla/form/fields/cachehandler.php  2       0
...packages/tmp/site/libraries/joomla/form/fields/calendar.php  9       0
...packages/tmp/site/libraries/joomla/form/fields/category.php  8       0
...packages/tmp/site/libraries/joomla/form/fields/checkbox.php  10      0
...nk/packages/tmp/site/libraries/joomla/form/fields/combo.php  9       0
...s/tmp/site/libraries/joomla/form/fields/componentlayout.php  18      0
...s/tmp/site/libraries/joomla/form/fields/contentlanguage.php  3       0
...k/packages/tmp/site/libraries/joomla/form/fields/editor.php  21      0
.../packages/tmp/site/libraries/joomla/form/fields/editors.php  6       0
...unk/packages/tmp/site/libraries/joomla/form/fields/file.php  5       0
...packages/tmp/site/libraries/joomla/form/fields/filelist.php  8       0
...ckages/tmp/site/libraries/joomla/form/fields/folderlist.php  7       0
...kages/tmp/site/libraries/joomla/form/fields/groupedlist.php  23      0
...packages/tmp/site/libraries/joomla/form/fields/helpsite.php  2       0
...k/packages/tmp/site/libraries/joomla/form/fields/hidden.php  3       0
...ackages/tmp/site/libraries/joomla/form/fields/imagelist.php  2       0
.../packages/tmp/site/libraries/joomla/form/fields/integer.php  2       0
...packages/tmp/site/libraries/joomla/form/fields/language.php  2       0
...unk/packages/tmp/site/libraries/joomla/form/fields/list.php  19      0
...nk/packages/tmp/site/libraries/joomla/form/fields/media.php  8       0
...unk/packages/tmp/site/libraries/joomla/form/fields/menu.php  2       0
...packages/tmp/site/libraries/joomla/form/fields/menuitem.php  5       0
...ages/tmp/site/libraries/joomla/form/fields/modulelayout.php  14      0
...packages/tmp/site/libraries/joomla/form/fields/password.php  6       0
...nk/packages/tmp/site/libraries/joomla/form/fields/radio.php  13      0
...nk/packages/tmp/site/libraries/joomla/form/fields/rules.php  21      0
...es/tmp/site/libraries/joomla/form/fields/sessionhandler.php  2       0
...k/packages/tmp/site/libraries/joomla/form/fields/spacer.php  4       0
...runk/packages/tmp/site/libraries/joomla/form/fields/sql.php  6       0
...ges/tmp/site/libraries/joomla/form/fields/templatestyle.php  7       0
...unk/packages/tmp/site/libraries/joomla/form/fields/text.php  8       0
...packages/tmp/site/libraries/joomla/form/fields/textarea.php  10      0
...packages/tmp/site/libraries/joomla/form/fields/timezone.php  14      0
...unk/packages/tmp/site/libraries/joomla/form/fields/user.php  6       0
...ackages/tmp/site/libraries/joomla/form/fields/usergroup.php  10      0
...xiec/trunk/packages/tmp/site/libraries/joomla/form/form.php  135     0
...trunk/packages/tmp/site/libraries/joomla/form/formfield.php  20      0
.../trunk/packages/tmp/site/libraries/joomla/form/formrule.php  8       0
...k/packages/tmp/site/libraries/joomla/form/formvalidator.php  19      0
...k/packages/tmp/site/libraries/joomla/form/rules/boolean.php  3       0
...unk/packages/tmp/site/libraries/joomla/form/rules/email.php  16      0
...nk/packages/tmp/site/libraries/joomla/form/rules/equals.php  4       0
...unk/packages/tmp/site/libraries/joomla/form/rules/rules.php  1       1
.../packages/tmp/site/libraries/joomla/form/rules/username.php  8       0
...runk/packages/tmp/site/libraries/joomla/form/xmlelement.php  7       0
...s/xiec/trunk/packages/tmp/site/libraries/models/country.php  1       0
.../xiec/trunk/packages/tmp/site/libraries/models/currency.php  1       0
...xiec/trunk/packages/tmp/site/libraries/models/dashboard.php  1       0
/vobs/xiec/trunk/packages/tmp/site/libraries/models/field.php   1       0
.../xiec/trunk/packages/tmp/site/libraries/models/fieldset.php  1       0
...s/xiec/trunk/packages/tmp/site/libraries/models/geozone.php  1       0
...s/xiec/trunk/packages/tmp/site/libraries/models/invoice.php  1       0
/vobs/xiec/trunk/packages/tmp/site/libraries/models/order.php   1       0
/vobs/xiec/trunk/packages/tmp/site/libraries/models/param.php   1       0
...s/xiec/trunk/packages/tmp/site/libraries/models/product.php  4       0
